One,Two,Three,Four,Five,Six,Seven,Final
8.369269358,8.369269358,8.369269358,8.369269358,8.369269358,8.369269358,6.998198312,8.369269358
5.740849947,5.873826167,6.155323444,8.452410736,8.822005018,7.161092903,9.228738563,6.962571227
7.410836203,5.785440968,5.957091636,5.868398012,6.822299359,7.816037757,8.708529592,6.676110871
8.15451182,8.81280088,6.86786202,6.124983204,5.427110422,7.054125056,7.512496631,5.302675341
7.856023708,8.597651988,5.003539865,7.990502132,7.964412915,6.437338668,6.60983501,5.362593829
8.476434852,6.78867953,5.914959341,5.343261047,6.933596406,5.42848101,7.793835591,6.433677958
5.336758174,5.02167731,8.46731256,8.777665213,7.994807616,7.9083045,7.344046442,6.657952619
7.577935155,5.04046262,7.099031484,5.9911227,6.894136529,7.131497905,6.841635639,7.919478864
7.112998162,7.090401282,5.101022935,7.047536195,5.543453032,5.480611762,6.212225603,8.365489992
6.053082102,8.466431343,6.340625259,5.190448525,7.700899434,8.294802837,9.003914766,7.511377084
6.813204181,6.397305799,7.580747639,6.457065495,7.744109366,6.758865181,7.463802286,7.338820031
7.64492203,5.230443156,5.547545712,8.380912169,6.829284514,7.708429816,9.204526677,6.580815188
5.377726172,7.690373203,5.837386594,8.717396563,8.005368839,6.495350025,8.198613947,6.087061175
5.595934038,5.043450657,7.458206318,7.054278144,5.591632093,8.463238792,8.754707248,5.240983406
5.712165447,8.700039536,7.400126925,5.123944713,8.745869814,7.897656959,9.31449852,5.847229501
5.876348399,7.76183676,6.63679994,7.54621797,6.421664315,6.597226367,7.828533812,6.355367592
7.467985687,5.700795235,7.964233358,7.476792964,5.051758981,8.352130982,6.490139989,8.934031778
6.663449698,6.4349657,6.568190488,5.133719931,5.521298241,8.622663123,6.008432645,7.300636975
7.262563093,7.686619486,6.791651779,7.834482938,8.490541808,7.843689142,9.186614548,6.819763825
7.933093172,5.721507092,5.124174953,8.11126307,7.904273051,7.53205466,7.741253849,7.336093769
7.00705985,6.753476963,8.770672882,7.192517021,6.25662941,6.127680671,8.385702912,7.463590095
7.101987418,8.021300392,8.713153672,7.715387939,8.08664821,5.437776055,7.990263254,8.988753658
6.108257442,8.477776025,5.141044193,7.46037575,6.377037129,5.326110564,9.551757019,8.047716253
8.522428826,7.744804543,7.54386267,6.799060015,5.240990732,6.174634322,9.911102606,6.622463419
6.05318557,7.437234106,7.318832169,6.37375094,5.598367865,6.895639333,9.398398624,5.686065193
7.500535757,5.780656435,5.372881163,6.774735008,5.548182485,6.546807231,8.349753233,8.737609878
7.761354933,6.114069724,8.598560811,6.733572289,6.16303259,5.72127736,9.528848685,8.085153643
7.794207585,6.459551661,7.930922563,7.562458167,8.293714719,5.730434053,9.205047187,8.451257843
5.768055515,5.256670186,8.525812081,8.916707684,7.552320704,5.32090507,9.280344641,7.603449078
6.87057195,5.931505748,5.682492711,7.477243486,5.241900014,6.092422023,9.799300352,5.286662162
7.245833606,8.682149138,8.304201255,5.479093874,7.458208265,8.230422856,9.373702898,6.139894216
7.375372482,8.245645031,8.307192848,5.065884665,8.229585596,8.745192546,8.315039679,8.773284815
6.273970527,8.718168743,5.936224822,7.738428606,5.624605888,7.983495231,7.092441165,6.634140265
8.054568289,8.880377605,8.090261347,7.355384859,7.543750533,8.492911185,9.847813759,5.426934274
8.549871686,7.535280268,7.796689181,8.025062264,7.005213863,6.153072391,6.353527668,8.851751823
8.056155006,6.366026276,7.456621715,7.628591468,5.162426821,7.215639644,9.824180651,5.116649655
8.839006856,8.186942902,5.903163027,8.665795426,5.400525079,5.149480389,6.452367644,8.87102041
8.717640237,7.567651775,7.922936484,6.291893308,5.97117857,7.709672321,9.79526645,7.479515618
6.770053479,8.906243712,5.233230931,7.432837883,8.533192542,7.139218199,9.745011358,5.578219334
8.907956021,8.721936738,6.933862454,6.609417033,6.520381917,8.750250329,7.7145333,5.877293895
8.644530589,6.5571561,6.882608499,8.800056868,6.63869794,7.365053274,9.65080669,5.941655297
7.741105669,7.132819901,8.463477352,7.595101299,7.32336414,5.064805329,8.700449045,5.575939002
6.122394653,6.48730599,6.307617708,5.24010744,8.970941067,6.850631062,7.34924898,5.602234002
7.981903169,5.556576897,5.945142536,6.605561505,8.741151569,8.806337684,6.472392052,8.956013687
5.184305222,5.502895245,5.146099282,6.479997228,6.659828102,8.880877803,8.929099976,8.971381209
8.282789842,6.360405479,8.425079963,8.509193386,7.31342112,8.121214093,8.40922347,8.55622909
8.136482707,6.088533342,7.656176674,8.301629144,8.561635637,5.797425813,8.191238082,5.749200714
6.697041131,7.944288067,8.696673865,8.64094589,7.948789297,6.685912199,6.912033267,6.910241458
7.647065884,8.068232112,7.642750269,8.507228792,6.205964443,7.003472999,6.036156279,7.915888297
8.253162786,6.570471637,7.374720714,5.547585597,8.293066695,6.535174939,8.276199794,7.638815944
